city,station_name,empty_slots,slots,free_bikes,ebikes,latitude,longitude,timestamp
Vancouver,10th & Cambie,19,35,16,5,49.262487,-123.114397,2023-06-03T16:41:29.944000Z
Vancouver,Yaletown-Roundhouse Station,5,16,11,3,49.274566,-123.121817,2023-06-03T16:41:29.933000Z
Vancouver,Dunsmuir & Beatty,24,26,2,2,49.279764,-123.110154,2023-06-03T16:41:29.941000Z
Vancouver,12th & Yukon (City Hall),14,16,2,2,49.260599,-123.113504,2023-06-03T16:41:29.942000Z
Vancouver,8th & Ash,13,16,3,1,49.264215,-123.117772,2023-06-03T16:41:29.956000Z
Vancouver,Spyglass & Seawall,0,14,14,0,49.270877,-123.115103,2023-06-03T16:41:29.957000Z
Vancouver,Stamps Landing,6,14,8,2,49.26893,-123.11813,2023-06-03T16:41:29.993000Z
Vancouver,Ontario & Seawall,3,20,17,0,49.271721,-123.104207,2023-06-03T16:41:29.993000Z
Vancouver,Canada Place,9,26,17,4,49.287214,-123.11287,2023-06-03T16:41:29.991000Z
Vancouver,Granville & Georgia,13,20,7,1,49.282409,-123.118541,2023-06-03T16:41:29.990000Z
Vancouver,Pender & Burrard,17,26,9,1,49.287097,-123.118551,2023-06-03T16:41:29.989000Z
Vancouver,Marinaside & Davie,8,22,14,1,49.273471,-123.118016,2023-06-03T16:41:29.980000Z
Vancouver,Robson & Hornby,23,30,6,2,49.282758,-123.122092,2023-06-03T16:41:29.998000Z
Vancouver,Hornby & Pender,18,22,4,2,49.28602,-123.116624,2023-06-03T16:41:30.017000Z
Vancouver,Homer & Robson (Vancouver Public Library),20,20,0,0,49.279739,-123.116251,2023-06-03T16:41:30.018000Z
Vancouver,Beatty & Robson,17,20,3,1,49.277483,-123.114279,2023-06-03T16:41:30.016000Z
Vancouver,Beatty & Nelson,11,14,3,0,49.275679,-123.116963,2023-06-03T16:41:30.016000Z
Vancouver,Abbott & Cordova,1,22,21,0,49.282759,-123.106955,2023-06-03T16:41:29.693000Z
Vancouver,Comox & Denman,14,18,4,1,49.288444,-123.139203,2023-06-03T16:41:29.694000Z
Vancouver,Cordova & Bute,3,14,10,1,49.289124,-123.12196,2023-06-03T16:41:29.685000Z
Vancouver,Hornby & Nelson,8,18,10,4,49.28062,-123.12482,2023-06-03T16:41:29.686000Z
Vancouver,Helmcken & Burrard,7,15,8,1,49.279938,-123.127478,2023-06-03T16:41:29.681000Z
Vancouver,Pacific & Richards,6,14,8,0,49.273663,-123.127075,2023-06-03T16:41:29.720000Z
Vancouver,Chilco & Beach,4,14,10,0,49.28972,-123.144028,2023-06-03T16:41:29.734000Z
Vancouver,Comox & Broughton,8,12,4,3,49.285253,-123.134356,2023-06-03T16:41:29.714000Z
Vancouver,Bute & Comox,6,22,16,0,49.283343,-123.131099,2023-06-03T16:41:29.757000Z
Vancouver,Cambie & Water,14,32,18,0,49.284605,-123.108662,2023-06-03T16:41:29.756000Z
Vancouver,Keefer & Abbott,9,28,18,0,49.279821,-123.10802,2023-06-03T16:41:29.756000Z
Vancouver,Expo & Carrall,0,16,14,1,49.278004,-123.105664,2023-06-03T16:41:29.764000Z
Vancouver,Keefer & Columbia,3,14,11,1,49.279342,-123.101822,2023-06-03T16:41:29.759000Z
Vancouver,Marinaside & Cooperage,13,26,13,1,49.273833,-123.114373,2023-06-03T16:41:29.758000Z
Vancouver,Bidwell & Burnaby,10,26,16,0,49.28526,-123.141809,2023-06-03T16:41:29.919000Z
Vancouver,Robson & Granville,28,30,2,0,49.281506,-123.120101,2023-06-03T16:41:29.918000Z
Vancouver,Expo & Smithe,2,14,12,0,49.276115,-123.114496,2023-06-03T16:41:29.912000Z
Vancouver,Cypress & Cornwall,3,22,19,3,49.272827,-123.147744,2023-06-03T16:41:29.917000Z
Vancouver,Anderson & 2nd,18,28,10,0,49.269361,-123.13782,2023-06-03T16:41:29.911000Z
Vancouver,7th & Granville,13,14,1,1,49.2653,-123.13811,2023-06-03T16:41:29.928000Z
Vancouver,10th & Granville,14,14,0,0,49.262598,-123.138921,2023-06-03T16:41:29.972000Z
Vancouver,14th & Granville,13,14,1,1,49.25894,-123.139272,2023-06-03T16:41:29.970000Z
Vancouver,14th & Cambie,10,14,4,4,49.258763,-123.115392,2023-06-03T16:41:29.973000Z
Vancouver,Ontario & 5th,7,20,14,0,49.266724,-123.104824,2023-06-03T16:41:29.973000Z
Vancouver,10th & Main,14,18,4,1,49.262141,-123.101961,2023-06-03T16:41:29.975000Z
Vancouver,Cypress & 4th,3,18,15,4,49.268269,-123.147885,2023-06-03T16:41:29.976000Z
Vancouver,Vanier Park,4,28,24,0,49.275717,-123.142564,2023-06-03T16:41:29.975000Z
Vancouver,Nelson & Mainland,18,20,2,0,49.276436,-123.11877,2023-06-03T16:41:29.979000Z
Vancouver,Nelson & Richards,13,18,3,0,49.277844,-123.120942,2023-06-03T16:41:29.978000Z
Vancouver,7th & Heather,11,18,7,1,49.265089,-123.119425,2023-06-03T16:41:30.011000Z
Vancouver,Harwood & Bute,16,20,4,1,49.28026,-123.135244,2023-06-03T16:41:30.007000Z
Vancouver,Chilco & Barclay,8,18,10,1,49.291909,-123.140713,2023-06-03T16:41:30.084000Z
Vancouver,Chilco & Robson,5,16,11,0,49.293257,-123.138563,2023-06-03T16:41:30.083000Z
Vancouver,Nicola & Robson,6,18,11,2,49.288011,-123.132006,2023-06-03T16:41:30.060000Z
Vancouver,Carrall & Hastings,2,18,16,1,49.28117,-123.104419,2023-06-03T16:41:30.050000Z
Vancouver,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,11,28,15,0,49.283227,-123.120523,2023-06-03T16:41:30.049000Z
