city,station_name,empty_slots,slots,free_bikes,ebikes,latitude,longitude,station_location,location_count,yelp_location_count,yelp_review_count
Vancouver,10th & Cambie,22,35,13,4,49.262487,-123.114397,"49.262487,-123.114397",0,8,42
Vancouver,Yaletown-Roundhouse Station,6,16,10,0,49.274566,-123.121817,"49.274566,-123.121817",0,14,94
Vancouver,Dunsmuir & Beatty,23,26,3,1,49.279764,-123.110154,"49.279764,-123.110154",0,10,61
Vancouver,12th & Yukon (City Hall),14,16,2,2,49.260599,-123.113504,"49.260599,-123.113504",0,10,49
Vancouver,8th & Ash,15,16,1,0,49.264215,-123.117772,"49.264215,-123.117772",0,9,69
Vancouver,Spyglass & Seawall,2,14,12,0,49.270877,-123.115103,"49.270877,-123.115103",3,11,73
Vancouver,Stamps Landing,7,14,7,1,49.26893,-123.11813,"49.26893,-123.11813",4,10,76
Vancouver,Ontario & Seawall,0,20,20,0,49.271721,-123.104207,"49.271721,-123.104207",1,7,34
Vancouver,Canada Place,13,26,13,2,49.287214,-123.11287,"49.287214,-123.11287",0,6,56
Vancouver,Granville & Georgia,16,20,4,3,49.282409,-123.118541,"49.282409,-123.118541",0,9,48
Vancouver,Pender & Burrard,14,26,12,2,49.287097,-123.118551,"49.287097,-123.118551",0,7,37
Vancouver,Marinaside & Davie,12,22,10,0,49.273471,-123.118016,"49.273471,-123.118016",2,13,86
Vancouver,Robson & Hornby,22,30,7,0,49.282758,-123.122092,"49.282758,-123.122092",0,10,49
Vancouver,Hornby & Pender,20,22,2,2,49.28602,-123.116624,"49.28602,-123.116624",0,9,74
Vancouver,Homer & Robson (Vancouver Public Library),19,20,1,1,49.279739,-123.116251,"49.279739,-123.116251",0,11,87
Vancouver,Beatty & Robson,16,20,4,0,49.277483,-123.114279,"49.277483,-123.114279",0,11,79
Vancouver,Beatty & Nelson,10,14,4,0,49.275679,-123.116963,"49.275679,-123.116963",0,11,67
Vancouver,Abbott & Cordova,9,22,13,1,49.282759,-123.106955,"49.282759,-123.106955",0,10,64
Vancouver,Comox & Denman,3,18,14,1,49.288444,-123.139203,"49.288444,-123.139203",0,11,244
Vancouver,Cordova & Bute,9,14,5,0,49.289124,-123.12196,"49.289124,-123.12196",1,8,1213
Vancouver,Hornby & Nelson,17,18,1,1,49.28062,-123.12482,"49.28062,-123.12482",0,12,94
Vancouver,Helmcken & Burrard,15,15,0,0,49.279938,-123.127478,"49.279938,-123.127478",0,11,80
